season,hour,load_mw,lmp_per_mwh,solar_pu
summer,0,28.000287689188017,52.0,0.0
summer,1,28.001931598130255,52.0,0.0
summer,2,28.012888410919032,44.0,0.0
summer,3,28.072160399962193,37.0,0.0
summer,4,28.309539685133107,31.0,0.0
summer,5,28.98242961223993,26.0,0.0
summer,6,30.287206098293854,26.0,0.0
summer,7,31.939824343587507,22.0,0.13441806169108328
summer,8,33.19955606710357,22.0,0.2897080104687788
summer,9,33.75801287414218,22.0,0.439576919139678
summer,10,34.33677605942359,0.0,0.5702446914334413
summer,11,35.954171217866275,0.0,0.671270212243638
summer,12,38.90888559106737,22.0,0.7350205873017863
summer,13,42.67559995741053,22.0,0.7568
summer,14,46.352479206360634,26.0,0.7350205873017863
summer,15,49.02352264983787,31.0,0.671270212243638
summer,16,50.000093236404574,37.0,0.5702446914334414
summer,17,49.022392281738604,44.0,0.4395769191396784
summer,18,46.342564428763914,52.0,0.28970801046877886
summer,19,42.61358454999341,62.0,0.13441806169108306
summer,20,38.63095178632717,90.0,3.8035891762779596e-19
summer,21,35.0616505772749,90.0,0.0
summer,22,32.28310758329325,90.0,0.0
summer,23,30.372085974579722,90.0,0.0
winter,0,25.19225565258446,37.0,0.0
winter,1,25.399252976129823,31.0,0.0
winter,2,25.767732525439122,26.0,0.0
winter,3,26.366987234046935,26.0,0.0
winter,4,27.253781273417992,22.0,0.0
winter,5,28.440742281245495,22.0,0.0
winter,6,29.863927689440573,22.0,0.0
winter,7,31.366841676395566,0.0,0.0
winter,8,32.71783711982607,0.0,0.061119560663268874
winter,9,33.66627282737327,0.0,0.20885926336121263
winter,10,34.02413974996916,0.0,0.35025671132155417
winter,11,33.74467443556905,0.0,0.4624178478336688
winter,12,32.965570614283294,0.0,0.5298985629384971
winter,13,31.98920518385717,0.0,0.5438459187299833
winter,14,31.18188265895744,0.0,0.5024568393548821
winter,15,30.8025712197338,22.0,0.41110663801015546
winter,16,30.83643742311206,22.0,0.2819959423808393
winter,17,30.967209271222885,26.0,0.13389211910513696
winter,18,30.76773252272255,31.0,2.742122429409692e-19
winter,19,29.999475049102777,37.0,0.0
winter,20,28.77491220544401,44.0,0.0
winter,21,27.44755683823353,44.0,0.0
winter,22,26.353378841260522,44.0,0.0
winter,23,25.636103309957413,52.0,0.0
